iso_code,continent,location,date,new_cases
PAN,North America,Panama,12/6/20,1812
PAN,North America,Panama,12/7/20,1511
PAN,North America,Panama,12/8/20,1936
PAN,North America,Panama,12/9/20,1811
PAN,North America,Panama,12/10/20,2447
PAN,North America,Panama,12/11/20,2355
PAN,North America,Panama,12/12/20,2806
PAN,North America,Panama,12/13/20,2422
PAN,North America,Panama,12/14/20,1612
PAN,North America,Panama,12/15/20,2368
PAN,North America,Panama,12/16/20,2960
PAN,North America,Panama,12/17/20,3348
PAN,North America,Panama,12/18/20,3015
PAN,North America,Panama,12/19/20,3274
PAN,North America,Panama,12/20/20,2755
PAN,North America,Panama,12/21/20,1699
PAN,North America,Panama,12/22/20,3164
PAN,North America,Panama,12/23/20,3059
PAN,North America,Panama,12/24/20,3413
PAN,North America,Panama,12/25/20,2986
PAN,North America,Panama,12/26/20,2064
PAN,North America,Panama,12/27/20,2633
PAN,North America,Panama,12/28/20,2348
PAN,North America,Panama,12/29/20,4574
PAN,North America,Panama,12/30/20,4465
PAN,North America,Panama,12/31/20,4046
PAN,North America,Panama,1/1/21,2943
PAN,North America,Panama,1/2/21,2031
PAN,North America,Panama,1/3/21,1972
PAN,North America,Panama,1/4/21,2494
PAN,North America,Panama,1/5/21,3540
PAN,North America,Panama,1/6/21,5186
PAN,North America,Panama,1/7/21,4135
PAN,North America,Panama,1/8/21,3946
PAN,North America,Panama,1/9/21,3735
PAN,North America,Panama,1/10/21,2424
PAN,North America,Panama,1/11/21,2157
PAN,North America,Panama,1/12/21,3740
PAN,North America,Panama,1/13/21,3315
PAN,North America,Panama,1/14/21,2877
PAN,North America,Panama,1/15/21,2307
PAN,North America,Panama,1/16/21,2677
PAN,North America,Panama,1/17/21,1750
PAN,North America,Panama,1/18/21,1342
PAN,North America,Panama,1/19/21,2173
PAN,North America,Panama,1/20/21,2243
PAN,North America,Panama,1/21/21,1975
PAN,North America,Panama,1/22/21,2041
PAN,North America,Panama,1/23/21,2058
PAN,North America,Panama,1/24/21,1393
PAN,North America,Panama,1/25/21,914
PAN,North America,Panama,1/26/21,1676
PAN,North America,Panama,1/27/21,1566
PAN,North America,Panama,1/28/21,1408
PAN,North America,Panama,1/29/21,1445
PAN,North America,Panama,1/30/21,1200
PAN,North America,Panama,1/31/21,926
PAN,North America,Panama,2/1/21,724
PAN,North America,Panama,2/2/21,1098
PAN,North America,Panama,2/3/21,1181
PAN,North America,Panama,2/4/21,1107
PAN,North America,Panama,2/5/21,998
PAN,North America,Panama,2/6/21,977
PAN,North America,Panama,2/7/21,627
PAN,North America,Panama,2/8/21,563
PAN,North America,Panama,2/9/21,822
PAN,North America,Panama,2/10/21,891
PAN,North America,Panama,2/11/21,708
PAN,North America,Panama,2/12/21,910
PAN,North America,Panama,2/13/21,707
PAN,North America,Panama,2/14/21,487
PAN,North America,Panama,2/15/21,500
PAN,North America,Panama,2/16/21,572
PAN,North America,Panama,2/17/21,504
PAN,North America,Panama,2/18/21,708
PAN,North America,Panama,2/19/21,876
PAN,North America,Panama,2/20/21,698
PAN,North America,Panama,2/21/21,484
PAN,North America,Panama,2/22/21,566
PAN,North America,Panama,2/23/21,718
PAN,North America,Panama,2/24/21,896
PAN,North America,Panama,2/25/21,682
PAN,North America,Panama,2/26/21,398
PAN,North America,Panama,2/27/21,664
PAN,North America,Panama,2/28/21,470
PAN,North America,Panama,3/1/21,505
PAN,North America,Panama,3/2/21,599
PAN,North America,Panama,3/3/21,722
PAN,North America,Panama,3/4/21,540
PAN,North America,Panama,3/5/21,462
PAN,North America,Panama,3/6/21,734
PAN,North America,Panama,3/7/21,357
PAN,North America,Panama,3/8/21,402
PAN,North America,Panama,3/9/21,523
PAN,North America,Panama,3/10/21,542
PAN,North America,Panama,3/11/21,474
PAN,North America,Panama,3/12/21,451
PAN,North America,Panama,3/13/21,415
PAN,North America,Panama,3/14/21,278
PAN,North America,Panama,3/15/21,236
PAN,North America,Panama,3/16/21,425
PAN,North America,Panama,3/17/21,440
PAN,North America,Panama,3/18/21,485
PAN,North America,Panama,3/19/21,715
PAN,North America,Panama,3/20/21,445
PAN,North America,Panama,3/21/21,326
PAN,North America,Panama,3/22/21,222
PAN,North America,Panama,3/23/21,454
PAN,North America,Panama,3/24/21,415
PAN,North America,Panama,3/25/21,497
PAN,North America,Panama,3/26/21,438
PAN,North America,Panama,3/27/21,480
PAN,North America,Panama,3/28/21,342
PAN,North America,Panama,3/29/21,246
PAN,North America,Panama,3/30/21,519
PAN,North America,Panama,3/31/21,447
PAN,North America,Panama,4/1/21,448
PAN,North America,Panama,4/2/21,351
PAN,North America,Panama,4/3/21,223
PAN,North America,Panama,4/4/21,304
PAN,North America,Panama,4/5/21,179
PAN,North America,Panama,4/6/21,357
PAN,North America,Panama,4/7/21,364
PAN,North America,Panama,4/8/21,427
PAN,North America,Panama,4/9/21,394
PAN,North America,Panama,4/10/21,279
PAN,North America,Panama,4/11/21,234
PAN,North America,Panama,4/12/21,181
PAN,North America,Panama,4/13/21,329
PAN,North America,Panama,4/14/21,395
PAN,North America,Panama,4/15/21,314
PAN,North America,Panama,4/16/21,419
PAN,North America,Panama,4/17/21,348
PAN,North America,Panama,4/18/21,244
PAN,North America,Panama,4/19/21,203
PAN,North America,Panama,4/20/21,275
PAN,North America,Panama,4/21/21,359
PAN,North America,Panama,4/22/21,314
PAN,North America,Panama,4/23/21,366
PAN,North America,Panama,4/24/21,338
PAN,North America,Panama,4/25/21,271
PAN,North America,Panama,4/26/21,198
PAN,North America,Panama,4/27/21,368
PAN,North America,Panama,4/28/21,362
PAN,North America,Panama,4/29/21,323
PAN,North America,Panama,4/30/21,358
PAN,North America,Panama,5/1/21,268
PAN,North America,Panama,5/2/21,260
PAN,North America,Panama,5/3/21,195
PAN,North America,Panama,5/4/21,320
PAN,North America,Panama,5/5/21,356
PAN,North America,Panama,5/6/21,389
PAN,North America,Panama,5/7/21,398
PAN,North America,Panama,5/8/21,508
PAN,North America,Panama,5/9/21,386
PAN,North America,Panama,5/10/21,252
PAN,North America,Panama,5/11/21,460
PAN,North America,Panama,5/12/21,562
PAN,North America,Panama,5/13/21,525
PAN,North America,Panama,5/14/21,588
PAN,North America,Panama,5/15/21,490
PAN,North America,Panama,5/16/21,344
PAN,North America,Panama,5/17/21,268
PAN,North America,Panama,5/18/21,539
PAN,North America,Panama,5/19/21,537
PAN,North America,Panama,5/20/21,579
PAN,North America,Panama,5/21/21,508
PAN,North America,Panama,5/22/21,466
PAN,North America,Panama,5/23/21,347
PAN,North America,Panama,5/24/21,235
PAN,North America,Panama,5/25/21,581
PAN,North America,Panama,5/26/21,663
PAN,North America,Panama,5/27/21,637
PAN,North America,Panama,5/28/21,617
PAN,North America,Panama,5/29/21,574
PAN,North America,Panama,5/30/21,348
PAN,North America,Panama,5/31/21,321
PAN,North America,Panama,6/1/21,731
PAN,North America,Panama,6/2/21,678
PAN,North America,Panama,6/3/21,701
PAN,North America,Panama,6/4/21,915
PAN,North America,Panama,6/5/21,827
PAN,North America,Panama,6/6/21,526
PAN,North America,Panama,6/7/21,376
PAN,North America,Panama,6/8/21,882
PAN,North America,Panama,6/9/21,779
PAN,North America,Panama,6/10/21,841
PAN,North America,Panama,6/11/21,916
PAN,North America,Panama,6/12/21,858
PAN,North America,Panama,6/13/21,715
PAN,North America,Panama,6/14/21,483
PAN,North America,Panama,6/15/21,848
PAN,North America,Panama,6/16/21,1048
PAN,North America,Panama,6/17/21,969
PAN,North America,Panama,6/18/21,976
PAN,North America,Panama,6/19/21,978
PAN,North America,Panama,6/20/21,583
PAN,North America,Panama,6/21/21,514
PAN,North America,Panama,6/22/21,1208
PAN,North America,Panama,6/23/21,1077
PAN,North America,Panama,6/24/21,1201
PAN,North America,Panama,6/25/21,1093
PAN,North America,Panama,6/26/21,1057
PAN,North America,Panama,6/27/21,789
PAN,North America,Panama,6/28/21,666
PAN,North America,Panama,6/29/21,1249
PAN,North America,Panama,6/30/21,1197
PAN,North America,Panama,7/1/21,1205
PAN,North America,Panama,7/2/21,1030
PAN,North America,Panama,7/3/21,1317
PAN,North America,Panama,7/4/21,793
PAN,North America,Panama,7/5/21,605
PAN,North America,Panama,7/6/21,1276
PAN,North America,Panama,7/7/21,1222
PAN,North America,Panama,7/8/21,1240
PAN,North America,Panama,7/9/21,1160
PAN,North America,Panama,7/10/21,1021
PAN,North America,Panama,7/11/21,833
PAN,North America,Panama,7/12/21,752
PAN,North America,Panama,7/13/21,855
PAN,North America,Panama,7/14/21,1517
PAN,North America,Panama,7/15/21,1225
PAN,North America,Panama,7/16/21,1087
PAN,North America,Panama,7/17/21,1041
PAN,North America,Panama,7/18/21,721
PAN,North America,Panama,7/19/21,688
PAN,North America,Panama,7/20/21,1089
PAN,North America,Panama,7/21/21,1144
PAN,North America,Panama,7/22/21,1250
PAN,North America,Panama,7/23/21,1138
PAN,North America,Panama,7/24/21,1096
PAN,North America,Panama,7/25/21,866
PAN,North America,Panama,7/26/21,495
PAN,North America,Panama,7/27/21,1110
PAN,North America,Panama,7/28/21,969
PAN,North America,Panama,7/29/21,1022
PAN,North America,Panama,7/30/21,915
PAN,North America,Panama,7/31/21,1195
PAN,North America,Panama,8/1/21,820
PAN,North America,Panama,8/2/21,337
PAN,North America,Panama,8/3/21,932
PAN,North America,Panama,8/4/21,1037
PAN,North America,Panama,8/5/21,818
PAN,North America,Panama,8/6/21,0
PAN,North America,Panama,8/7/21,1717
PAN,North America,Panama,8/8/21,979
PAN,North America,Panama,8/9/21,523
PAN,North America,Panama,8/10/21,900
PAN,North America,Panama,8/11/21,977
PAN,North America,Panama,8/12/21,956
PAN,North America,Panama,8/13/21,758
PAN,North America,Panama,8/14/21,852
PAN,North America,Panama,8/15/21,563
PAN,North America,Panama,8/16/21,444
PAN,North America,Panama,8/17/21,656
PAN,North America,Panama,8/18/21,838
PAN,North America,Panama,8/19/21,862
PAN,North America,Panama,8/20/21,669
PAN,North America,Panama,8/21/21,691
PAN,North America,Panama,8/22/21,614
PAN,North America,Panama,8/23/21,388
PAN,North America,Panama,8/24/21,480
PAN,North America,Panama,8/25/21,864
PAN,North America,Panama,8/26/21,548
PAN,North America,Panama,8/27/21,649
PAN,North America,Panama,8/28/21,676
PAN,North America,Panama,8/29/21,463
PAN,North America,Panama,8/30/21,371
PAN,North America,Panama,8/31/21,450
PAN,North America,Panama,9/1/21,670
PAN,North America,Panama,9/2/21,481
PAN,North America,Panama,9/3/21,439
PAN,North America,Panama,9/4/21,442
PAN,North America,Panama,9/5/21,325
PAN,North America,Panama,9/6/21,0
PAN,North America,Panama,9/7/21,655
PAN,North America,Panama,9/8/21,330
PAN,North America,Panama,9/9/21,401
PAN,North America,Panama,9/10/21,360
PAN,North America,Panama,9/11/21,420
PAN,North America,Panama,9/12/21,0
PAN,North America,Panama,9/13/21,214
PAN,North America,Panama,9/14/21,223
PAN,North America,Panama,9/15/21,639
PAN,North America,Panama,9/16/21,373
PAN,North America,Panama,9/17/21,324
PAN,North America,Panama,9/18/21,255
PAN,North America,Panama,9/19/21,250
PAN,North America,Panama,9/20/21,152
PAN,North America,Panama,9/21/21,341
PAN,North America,Panama,9/22/21,366
PAN,North America,Panama,9/23/21,324
PAN,North America,Panama,9/24/21,265
PAN,North America,Panama,9/25/21,257
PAN,North America,Panama,9/26/21,185
PAN,North America,Panama,9/27/21,179
PAN,North America,Panama,9/28/21,232
PAN,North America,Panama,9/29/21,262
PAN,North America,Panama,9/30/21,262
PAN,North America,Panama,10/1/21,225
PAN,North America,Panama,10/2/21,227
PAN,North America,Panama,10/3/21,175
PAN,North America,Panama,10/4/21,121
PAN,North America,Panama,10/5/21,253
PAN,North America,Panama,10/6/21,211
PAN,North America,Panama,10/7/21,220
PAN,North America,Panama,10/8/21,195
PAN,North America,Panama,10/9/21,223
PAN,North America,Panama,10/10/21,119
PAN,North America,Panama,10/11/21,108
PAN,North America,Panama,10/12/21,250
PAN,North America,Panama,10/13/21,129
PAN,North America,Panama,10/14/21,0
PAN,North America,Panama,10/15/21,429
PAN,North America,Panama,10/16/21,0
PAN,North America,Panama,10/17/21,266
PAN,North America,Panama,10/18/21,131
PAN,North America,Panama,10/19/21,0
PAN,North America,Panama,10/20/21,460
PAN,North America,Panama,10/21/21,205
PAN,North America,Panama,10/22/21,193
PAN,North America,Panama,10/23/21,150
PAN,North America,Panama,10/24/21,0
PAN,North America,Panama,10/25/21,266
PAN,North America,Panama,10/26/21,215
PAN,North America,Panama,10/27/21,173
PAN,North America,Panama,10/28/21,140
PAN,North America,Panama,10/29/21,201
PAN,North America,Panama,10/30/21,136
PAN,North America,Panama,10/31/21,130
PAN,North America,Panama,11/1/21,0
PAN,North America,Panama,11/2/21,213
PAN,North America,Panama,11/3/21,128
PAN,North America,Panama,11/4/21,84
PAN,North America,Panama,11/5/21,94
PAN,North America,Panama,11/6/21,120
PAN,North America,Panama,11/7/21,113
PAN,North America,Panama,11/8/21,106
PAN,North America,Panama,11/9/21,0
PAN,North America,Panama,11/10/21,381
PAN,North America,Panama,11/11/21,99
PAN,North America,Panama,11/12/21,229
PAN,North America,Panama,11/13/21,222
PAN,North America,Panama,11/14/21,168
PAN,North America,Panama,11/15/21,0
PAN,North America,Panama,11/16/21,307
PAN,North America,Panama,11/17/21,238
PAN,North America,Panama,11/18/21,203
PAN,North America,Panama,11/19/21,0
PAN,North America,Panama,11/20/21,466
PAN,North America,Panama,11/21/21,162
PAN,North America,Panama,11/22/21,132
PAN,North America,Panama,11/23/21,214
PAN,North America,Panama,11/24/21,268
PAN,North America,Panama,11/25/21,202
PAN,North America,Panama,11/26/21,283
PAN,North America,Panama,11/27/21,210
PAN,North America,Panama,11/28/21,0
PAN,North America,Panama,11/29/21,208
PAN,North America,Panama,11/30/21,228
PAN,North America,Panama,12/1/21,248
PAN,North America,Panama,12/2/21,285
PAN,North America,Panama,12/3/21,268
PAN,North America,Panama,12/4/21,0
PAN,North America,Panama,12/5/21,510
PAN,North America,Panama,12/6/21,0
PAN,North America,Panama,12/7/21,178
PAN,North America,Panama,12/8/21,332
PAN,North America,Panama,12/9/21,527
PAN,North America,Panama,12/10/21,127
PAN,North America,Panama,12/11/21,356
PAN,North America,Panama,12/12/21,208
PAN,North America,Panama,12/13/21,0
PAN,North America,Panama,12/14/21,657
PAN,North America,Panama,12/15/21,0
PAN,North America,Panama,12/16/21,386
PAN,North America,Panama,12/17/21,853
PAN,North America,Panama,12/18/21,0
PAN,North America,Panama,12/19/21,386
PAN,North America,Panama,12/20/21,323
PAN,North America,Panama,12/21/21,252
PAN,North America,Panama,12/22/21,1155
PAN,North America,Panama,12/23/21,719
PAN,North America,Panama,12/24/21,0
PAN,North America,Panama,12/25/21,1692
PAN,North America,Panama,12/26/21,563
PAN,North America,Panama,12/27/21,574
PAN,North America,Panama,12/28/21,1354
PAN,North America,Panama,12/29/21,1348
PAN,North America,Panama,12/30/21,0
